序号,关键词,方案ID,推广单元ID,消费额,点击量,浏览量,跳出率,平均访问时长_秒,有消费,CTR,CPC,有浏览,有转化,平均浏览,GMM_K,cluster_id,分类
464,2919,495403620,9628223555,8.23,13,15,0.8182,235.0,True,0.8666666666666667,0.6330769230769231,True,True,1.1538461538461537,8,6,稳定拓展型三
465,2936,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
466,2955,495403620,9628223555,3.09,3,3,1.0,3.0,True,1.0,1.03,True,True,1.0,8,7,低效长尾型二
467,2993,495403620,9628223555,22.18,15,23,0.8462,328.0,True,0.6521739130434783,1.4786666666666666,True,True,1.5333333333333334,8,6,稳定拓展型三
468,2996,495403620,9628223555,74.77,50,316,0.2692,487.0,True,0.15822784810126583,1.4953999999999998,True,True,6.32,8,1,稳定拓展型
469,2997,495403620,9628223555,184.97,118,214,0.7664,108.0,True,0.5514018691588785,1.567542372881356,True,True,1.8135593220338984,8,6,稳定拓展型三
470,3008,495403620,9628223555,45.41,54,204,0.6042,319.0,True,0.2647058823529412,0.8409259259259259,True,True,3.7777777777777777,8,1,稳定拓展型
471,3060,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
472,3064,495403620,9628223555,13.2,15,16,0.9,60.0,True,0.9375,0.88,True,True,1.0666666666666667,8,6,稳定拓展型三
473,3070,495403620,9628223555,9.57,8,14,0.6,61.0,True,0.5714285714285714,1.19625,True,True,1.75,8,6,稳定拓展型三
474,3093,495403620,9628223555,0.32,1,0,0.0,,True,,0.32,False,True,0.0,8,5,潜力挖掘型
475,3135,495403620,9628223555,2.7,2,22,0.5,1001.0,True,0.09090909090909091,1.35,True,True,11.0,8,1,稳定拓展型
476,3153,495403620,9628223555,0.72,1,1,1.0,120.0,True,1.0,0.72,True,True,1.0,8,7,低效长尾型二
477,3165,495403620,9628223555,53.44,53,64,0.875,128.0,True,0.828125,1.0083018867924527,True,True,1.2075471698113207,8,6,稳定拓展型三
478,3175,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
479,3195,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
480,3201,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
481,3222,495403620,9628223555,1.65,1,1,1.0,2.0,True,1.0,1.65,True,True,1.0,8,7,低效长尾型二
482,3275,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
483,3327,495403620,9628223555,22.08,13,59,0.7,539.0,True,0.22033898305084745,1.6984615384615382,True,True,4.538461538461538,8,1,稳定拓展型
484,3352,495403620,9628223555,37.67,27,27,0.9524,122.0,True,1.0,1.3951851851851853,True,True,1.0,8,6,稳定拓展型三
485,3353,495403620,9628223555,0.8,1,1,1.0,,True,1.0,0.8,True,True,1.0,8,7,低效长尾型二
486,3374,495403620,9628223555,2398.88,445,3848,0.2606,480.0,True,0.11564449064449064,5.390741573033708,True,True,8.647191011235956,8,0,高价值转化型
487,3379,495403620,9628223555,31.79,21,74,0.65,369.0,True,0.28378378378378377,1.5138095238095237,True,True,3.5238095238095237,8,1,稳定拓展型
488,3382,495403620,9628223555,1533.0,276,1485,0.4779,384.0,True,0.18585858585858586,5.554347826086956,True,True,5.380434782608695,8,0,高价值转化型
489,3386,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
490,3393,495403620,9628223555,298.34,124,269,0.7182,103.0,True,0.46096654275092935,2.4059677419354837,True,True,2.1693548387096775,8,1,稳定拓展型
491,3416,495403620,9628223555,4.17,3,2,1.0,120.0,True,1.5,1.39,True,True,0.6666666666666666,8,7,低效长尾型二
492,3417,495403620,9628223555,6.95,6,10,0.6,33.0,True,0.6,1.1583333333333334,True,True,1.6666666666666667,8,6,稳定拓展型三
493,3445,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
494,3451,495403620,9628223555,2.63,3,3,0.5,14.0,True,1.0,0.8766666666666666,True,True,1.0,8,6,稳定拓展型三
495,3481,495403620,9628223555,0.0,0,1,,,False,0.0,,True,False,,8,4,稳定拓展型二
496,3548,495403620,9628223555,11.61,15,23,0.9167,279.0,True,0.6521739130434783,0.7739999999999999,True,True,1.5333333333333334,8,6,稳定拓展型三
497,3567,495403620,9628223555,1.35,2,2,1.0,25.0,True,1.0,0.675,True,True,1.0,8,7,低效长尾型二
498,3575,495403620,9628223555,160.27,44,142,0.5,370.0,True,0.30985915492957744,3.6425,True,True,3.227272727272727,8,0,高价值转化型
499,3579,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
500,3653,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
501,3659,495403620,9628223555,5.77,7,6,1.0,184.0,True,1.1666666666666667,0.8242857142857142,True,True,0.8571428571428571,8,7,低效长尾型二
502,3677,495403620,9628223555,6.93,10,9,1.0,44.0,True,1.1111111111111112,0.693,True,True,0.9,8,7,低效长尾型二
503,3720,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
504,3769,495403620,9628223555,1.24,3,3,1.0,3.0,True,1.0,0.41333333333333333,True,True,1.0,8,7,低效长尾型二
505,3922,495403620,9628223555,2.35,2,2,1.0,25.0,True,1.0,1.175,True,True,1.0,8,7,低效长尾型二
506,3923,495403620,9628223555,14.78,15,143,0.4286,930.0,True,0.1048951048951049,0.9853333333333333,True,True,9.533333333333333,8,1,稳定拓展型
507,3924,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
508,3949,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
509,3951,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
510,3962,495403620,9628223555,8.52,6,6,1.0,44.0,True,1.0,1.42,True,True,1.0,8,7,低效长尾型二
511,3973,495403620,9628223555,4.8,7,35,0.8,77.0,True,0.2,0.6857142857142857,True,True,5.0,8,1,稳定拓展型
512,3989,495403620,9628223555,106.06,63,407,0.4483,394.0,True,0.1547911547911548,1.6834920634920636,True,True,6.4603174603174605,8,1,稳定拓展型
513,3991,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
514,4001,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
515,4002,495403620,9628223555,26.24,17,59,0.75,288.0,True,0.288135593220339,1.5435294117647058,True,True,3.4705882352941178,8,1,稳定拓展型
516,4016,495403620,9628223555,48.68,27,55,0.6522,172.0,True,0.4909090909090909,1.8029629629629629,True,True,2.037037037037037,8,1,稳定拓展型
517,4020,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
518,4046,495403620,9628223555,21.51,20,28,0.8235,55.0,True,0.7142857142857143,1.0755000000000001,True,True,1.4,8,6,稳定拓展型三
519,4047,495403620,9628223555,50.95,36,52,0.7778,326.0,True,0.6923076923076923,1.4152777777777779,True,True,1.4444444444444444,8,6,稳定拓展型三
520,4052,495403620,9628223555,1.19,1,1,1.0,9.0,True,1.0,1.19,True,True,1.0,8,7,低效长尾型二
521,4141,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
522,4158,495403620,9628223555,36.54,28,49,0.92,98.0,True,0.5714285714285714,1.305,True,True,1.75,8,6,稳定拓展型三
523,4163,495403620,9628223555,0.49,2,2,1.0,1.0,True,1.0,0.245,True,True,1.0,8,7,低效长尾型二
524,4165,495403620,9628223555,36.37,33,30,0.8095,153.0,True,1.1,1.102121212121212,True,True,0.9090909090909091,8,6,稳定拓展型三
525,4171,495403620,9628223555,1.68,2,1,1.0,8.0,True,2.0,0.84,True,True,0.5,8,7,低效长尾型二
526,4188,495403620,9628223555,1533.24,434,1683,0.5805,286.0,True,0.2578728461081402,3.532811059907834,True,True,3.877880184331797,8,0,高价值转化型
527,4189,495403620,9628223555,19.42,15,28,0.6667,57.0,True,0.5357142857142857,1.2946666666666669,True,True,1.8666666666666667,8,6,稳定拓展型三
528,4251,495403620,9628223555,1.23,1,0,0.0,,True,,1.23,False,True,0.0,8,5,潜力挖掘型
529,4310,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
530,4321,495403620,9628223555,89.22,64,291,0.566,525.0,True,0.21993127147766323,1.3940625,True,True,4.546875,8,1,稳定拓展型
531,4331,495403620,9628223555,16.86,15,9,1.0,48.0,True,1.6666666666666667,1.1239999999999999,True,True,0.6,8,7,低效长尾型二
532,4388,495403620,9628223555,8.28,9,5,1.0,32.0,True,1.8,0.9199999999999999,True,True,0.5555555555555556,8,7,低效长尾型二
533,4422,495403620,9628223555,5.1,4,31,0.6,1425.0,True,0.12903225806451613,1.275,True,True,7.75,8,1,稳定拓展型
534,4454,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
535,4463,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
536,4479,495403620,9628223555,7.22,8,6,1.0,52.0,True,1.3333333333333333,0.9025,True,True,0.75,8,7,低效长尾型二
537,4480,495403620,9628223555,21.87,15,12,0.9091,34.0,True,1.25,1.458,True,True,0.8,8,6,稳定拓展型三
538,4498,495403620,9628223555,3.53,2,2,1.0,120.0,True,1.0,1.765,True,True,1.0,8,7,低效长尾型二
539,4504,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
540,4505,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
541,4529,495403620,9628223555,1.62,2,2,1.0,2.0,True,1.0,0.81,True,True,1.0,8,7,低效长尾型二
542,4541,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
543,4545,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
544,4558,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
545,4560,495403620,9628223555,15.29,8,17,0.6667,121.0,True,0.47058823529411764,1.91125,True,True,2.125,8,1,稳定拓展型
546,4581,495403620,9628223555,3.58,2,2,1.0,63.0,True,1.0,1.79,True,True,1.0,8,7,低效长尾型二
547,4594,495403620,9628223555,20.64,30,24,1.0,40.0,True,1.25,0.6880000000000001,True,True,0.8,8,7,低效长尾型二
548,4613,495403620,9628223555,5.38,5,3,1.0,80.0,True,1.6666666666666667,1.076,True,True,0.6,8,7,低效长尾型二
549,4634,495403620,9628223555,375.36,121,502,0.5534,438.0,True,0.2410358565737052,3.1021487603305786,True,True,4.148760330578512,8,0,高价值转化型
550,4637,495403620,9628223555,5.75,11,9,1.0,54.0,True,1.2222222222222223,0.5227272727272727,True,True,0.8181818181818182,8,7,低效长尾型二
551,4706,495403620,9628223555,6.41,11,14,0.8889,94.0,True,0.7857142857142857,0.5827272727272728,True,True,1.2727272727272727,8,6,稳定拓展型三
552,4717,495403620,9628223555,1.77,3,3,1.0,15.0,True,1.0,0.59,True,True,1.0,8,7,低效长尾型二
553,4718,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
554,4760,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
555,4762,495403620,9628223555,0.97,2,1,1.0,2.0,True,2.0,0.485,True,True,0.5,8,7,低效长尾型二
556,4828,495403620,9628223555,11.05,8,22,0.5,199.0,True,0.36363636363636365,1.38125,True,True,2.75,8,1,稳定拓展型
557,4832,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
558,4854,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
559,4865,495403620,9628223555,61.99,63,65,0.84,64.0,True,0.9692307692307692,0.983968253968254,True,True,1.0317460317460319,8,6,稳定拓展型三
560,4888,495403620,9628223555,33.02,26,57,0.7083,202.0,True,0.45614035087719296,1.27,True,True,2.1923076923076925,8,1,稳定拓展型
561,4914,495403620,9628223555,2.05,2,2,1.0,92.0,True,1.0,1.025,True,True,1.0,8,7,低效长尾型二
562,4927,495403620,9628223555,22.07,17,23,0.8,61.0,True,0.7391304347826086,1.2982352941176472,True,True,1.3529411764705883,8,6,稳定拓展型三
563,4931,495403620,9628223555,0.81,2,1,1.0,1.0,True,2.0,0.405,True,True,0.5,8,7,低效长尾型二
564,4935,495403620,9628223555,10.31,11,8,1.0,33.0,True,1.375,0.9372727272727274,True,True,0.7272727272727273,8,7,低效长尾型二
565,4949,495403620,9628223555,21.56,17,16,0.9286,59.0,True,1.0625,1.268235294117647,True,True,0.9411764705882353,8,6,稳定拓展型三
566,4960,495403620,9628223555,10.94,15,15,0.7273,46.0,True,1.0,0.7293333333333333,True,True,1.0,8,6,稳定拓展型三
567,5031,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
568,5035,495403620,9628223555,66.79,41,39,0.9167,104.0,True,1.0512820512820513,1.6290243902439026,True,True,0.9512195121951219,8,6,稳定拓展型三
569,5038,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
570,5064,495403620,9628223555,1.33,3,3,1.0,43.0,True,1.0,0.44333333333333336,True,True,1.0,8,7,低效长尾型二
571,5111,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
572,5126,495403620,9628223555,10.69,12,8,1.0,21.0,True,1.5,0.8908333333333333,True,True,0.6666666666666666,8,7,低效长尾型二
573,5163,495403620,9628223555,2.85,4,3,1.0,3.0,True,1.3333333333333333,0.7125,True,True,0.75,8,7,低效长尾型二
574,5197,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
575,5199,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
576,5229,495403620,9628223555,28.35,51,38,1.0,54.0,True,1.3421052631578947,0.5558823529411765,True,True,0.7450980392156863,8,7,低效长尾型二
577,5249,495403620,9628223555,371.71,111,99,0.9457,71.0,True,1.121212121212121,3.3487387387387386,True,True,0.8918918918918919,8,0,高价值转化型
578,5259,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
579,5306,495403620,9628223555,13.59,17,10,0.8889,66.0,True,1.7,0.7994117647058824,True,True,0.5882352941176471,8,4,稳定拓展型二
580,5313,495403620,9628223555,11.64,18,32,0.7857,171.0,True,0.5625,0.6466666666666667,True,True,1.7777777777777777,8,6,稳定拓展型三
581,5314,495403620,9628223555,0.29,1,1,1.0,,True,1.0,0.29,True,True,1.0,8,7,低效长尾型二
582,5395,495403620,9628223555,1.19,1,0,0.0,,True,,1.19,False,True,0.0,8,5,潜力挖掘型
583,5406,495403620,9628223555,6.44,8,5,1.0,77.0,True,1.6,0.805,True,True,0.625,8,7,低效长尾型二
584,5436,495403620,9628223555,17.1,13,31,0.4545,297.0,True,0.41935483870967744,1.3153846153846156,True,True,2.3846153846153846,8,1,稳定拓展型
585,5438,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
586,5455,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
587,5460,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
588,5467,495403620,9628223555,9.29,9,7,1.0,36.0,True,1.2857142857142858,1.0322222222222222,True,True,0.7777777777777778,8,7,低效长尾型二
589,5486,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
590,5495,495403620,9628223555,1.56,9,18,0.625,174.0,True,0.5,0.17333333333333334,True,True,2.0,8,1,稳定拓展型
591,5501,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
592,5508,495403620,9628223555,1.4,1,0,0.0,,True,,1.4,False,True,0.0,8,5,潜力挖掘型
593,5534,495403620,9628223555,0.1,1,0,0.0,,True,,0.1,False,True,0.0,8,5,潜力挖掘型
594,5546,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
595,5549,495403620,9628223555,3.05,3,3,1.0,2.0,True,1.0,1.0166666666666666,True,True,1.0,8,7,低效长尾型二
596,5576,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
597,5588,495403620,9628223555,1.37,2,1,1.0,3.0,True,2.0,0.685,True,True,0.5,8,7,低效长尾型二
598,5622,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
599,5629,495403620,9628223555,1.1,1,0,0.0,,True,,1.1,False,True,0.0,8,5,潜力挖掘型
600,5643,495403620,9628223555,5.44,3,3,1.0,3.0,True,1.0,1.8133333333333335,True,True,1.0,8,7,低效长尾型二
601,5655,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
602,5661,495403620,9628223555,33.08,29,27,0.8947,100.0,True,1.0740740740740742,1.1406896551724137,True,True,0.9310344827586207,8,6,稳定拓展型三
603,5671,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
604,5672,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
605,5683,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
606,5696,495403620,9628223555,54.85,41,39,0.9375,76.0,True,1.0512820512820513,1.3378048780487806,True,True,0.9512195121951219,8,6,稳定拓展型三
607,5702,495403620,9628223555,22.93,16,40,0.8182,77.0,True,0.4,1.433125,True,True,2.5,8,1,稳定拓展型
608,5703,495403620,9628223555,2433.25,464,1009,0.7268,229.0,True,0.45986124876114964,5.244073275862069,True,True,2.1745689655172415,8,0,高价值转化型
609,5705,495403620,9628223555,134.41,26,101,0.56,209.0,True,0.25742574257425743,5.169615384615384,True,True,3.8846153846153846,8,0,高价值转化型
610,5721,495403620,9628223555,20.77,18,25,0.9444,150.0,True,0.72,1.153888888888889,True,True,1.3888888888888888,8,6,稳定拓展型三
611,5767,495403620,9628223555,10.18,6,8,0.8571,23.0,True,0.75,1.6966666666666665,True,True,1.3333333333333333,8,6,稳定拓展型三
612,5779,495403620,9628223555,15.29,14,9,1.0,19.0,True,1.5555555555555556,1.092142857142857,True,True,0.6428571428571429,8,7,低效长尾型二
613,5795,495403620,9628223555,31.96,31,30,0.9231,119.0,True,1.0333333333333334,1.030967741935484,True,True,0.967741935483871,8,6,稳定拓展型三
614,5862,495403620,9628223555,5.94,8,5,1.0,33.0,True,1.6,0.7425,True,True,0.625,8,7,低效长尾型二
615,5888,495403620,9628223555,1.8,1,1,1.0,1.0,True,1.0,1.8,True,True,1.0,8,7,低效长尾型二
616,5911,495403620,9628223555,29.26,17,100,0.4375,335.0,True,0.17,1.7211764705882353,True,True,5.882352941176471,8,1,稳定拓展型
617,5912,495403620,9628223555,2.7,4,36,0.25,315.0,True,0.1111111111111111,0.675,True,True,9.0,8,1,稳定拓展型
618,5917,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
619,5921,495403620,9628223555,11.58,11,11,0.8333,44.0,True,1.0,1.0527272727272727,True,True,1.0,8,6,稳定拓展型三
620,5945,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
621,5964,495403620,9628223555,1774.21,550,790,0.8364,111.0,True,0.6962025316455697,3.225836363636364,True,True,1.4363636363636363,8,0,高价值转化型
622,5987,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
623,6017,495403620,9628223555,4.12,4,7,0.6667,517.0,True,0.5714285714285714,1.03,True,True,1.75,8,6,稳定拓展型三
624,6027,495403620,9628223555,501.74,66,512,0.25,720.0,True,0.12890625,7.6021212121212125,True,True,7.757575757575758,8,0,高价值转化型
625,6028,495403620,9628223555,4.42,3,4,0.5,43.0,True,0.75,1.4733333333333334,True,True,1.3333333333333333,8,6,稳定拓展型三
626,6039,495403620,9628223555,2.31,5,3,1.0,6.0,True,1.6666666666666667,0.462,True,True,0.6,8,7,低效长尾型二
627,6093,495403620,9628223555,6.74,3,7,0.6667,652.0,True,0.42857142857142855,2.2466666666666666,True,True,2.3333333333333335,8,1,稳定拓展型
628,6106,495403620,9628223555,1.1,3,9,0.0,47.0,True,0.3333333333333333,0.3666666666666667,True,True,3.0,8,5,潜力挖掘型
629,6149,495403620,9628223555,60.82,89,25,0.9091,171.0,True,3.56,0.6833707865168539,True,True,0.2808988764044944,8,4,稳定拓展型二
630,6152,495403620,9628223555,7.16,9,8,1.0,33.0,True,1.125,0.7955555555555556,True,True,0.8888888888888888,8,7,低效长尾型二
631,6157,495403620,9628223555,4.06,3,8,0.6667,72.0,True,0.375,1.3533333333333333,True,True,2.6666666666666665,8,1,稳定拓展型
632,6159,495403620,9628223555,43.15,13,43,0.75,41.0,True,0.3023255813953488,3.319230769230769,True,True,3.3076923076923075,8,0,高价值转化型
633,6162,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
634,6164,495403620,9628223555,0.15,1,1,1.0,1.0,True,1.0,0.15,True,True,1.0,8,7,低效长尾型二
635,6173,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
636,6177,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
637,6198,495403620,9628223555,0.27,2,2,1.0,120.0,True,1.0,0.135,True,True,1.0,8,7,低效长尾型二
638,6210,495403620,9628223555,1.06,4,3,1.0,41.0,True,1.3333333333333333,0.265,True,True,0.75,8,7,低效长尾型二
639,6229,495403620,9628223555,19.34,17,68,0.9333,503.0,True,0.25,1.1376470588235295,True,True,4.0,8,1,稳定拓展型
640,6250,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
641,6261,495403620,9628223555,18916.77,16391,13078,0.8917,106.0,True,1.2533261966661569,1.1540949301445915,True,True,0.7978768836556647,8,6,稳定拓展型三
642,6281,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
643,6294,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
644,6298,495403620,9628223555,1983.14,693,1366,0.7867,202.0,True,0.5073206442166911,2.861673881673882,True,True,1.971139971139971,8,0,高价值转化型
645,6343,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
646,6360,495403620,9628223555,10735.93,5191,13273,0.6879,230.0,True,0.391094703533489,2.0681814679252555,True,True,2.55692544789058,8,0,高价值转化型
647,6366,495403620,9628223555,8.41,9,8,1.0,32.0,True,1.125,0.9344444444444444,True,True,0.8888888888888888,8,7,低效长尾型二
648,6372,495403620,9628223555,8.06,12,8,1.0,76.0,True,1.5,0.6716666666666667,True,True,0.6666666666666666,8,7,低效长尾型二
649,6377,495403620,9628223555,20.2,24,370,0.08,761.0,True,0.06486486486486487,0.8416666666666667,True,True,15.416666666666666,8,1,稳定拓展型
650,6383,495403620,9628223555,4.85,6,5,1.0,2.0,True,1.2,0.8083333333333332,True,True,0.8333333333333334,8,7,低效长尾型二
651,6440,495403620,9628223555,2.62,3,3,1.0,453.0,True,1.0,0.8733333333333334,True,True,1.0,8,7,低效长尾型二
652,6447,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
653,6451,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
654,6474,495403620,9628223555,120.04,56,136,0.5366,265.0,True,0.4117647058823529,2.1435714285714287,True,True,2.4285714285714284,8,1,稳定拓展型
655,6500,495403620,9628223555,116.38,82,350,0.4595,252.0,True,0.2342857142857143,1.4192682926829268,True,True,4.2682926829268295,8,1,稳定拓展型
656,6504,495403620,9628223555,36.72,26,52,0.7619,134.0,True,0.5,1.4123076923076923,True,True,2.0,8,1,稳定拓展型
657,6538,495403620,9628223555,22.9,20,102,0.7222,345.0,True,0.19607843137254902,1.145,True,True,5.1,8,1,稳定拓展型
658,6542,495403620,9628223555,7.58,10,7,1.0,28.0,True,1.4285714285714286,0.758,True,True,0.7,8,7,低效长尾型二
659,6560,495403620,9628223555,4.72,2,4,0.5,527.0,True,0.5,2.36,True,True,2.0,8,1,稳定拓展型
660,6574,495403620,9628223555,56.31,43,187,0.6216,267.0,True,0.22994652406417113,1.3095348837209302,True,True,4.348837209302325,8,1,稳定拓展型
661,6617,495403620,9628223555,318.27,238,301,0.858,99.0,True,0.7906976744186046,1.337268907563025,True,True,1.2647058823529411,8,6,稳定拓展型三
662,6649,495403620,9628223555,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
663,15,495817671,9630806627,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
664,59,495817671,9630806627,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
665,64,495817671,9630806627,6.47,13,10,1.0,25.0,True,1.3,0.49769230769230766,True,True,0.7692307692307693,8,7,低效长尾型二
666,65,495817671,9630806627,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
667,108,495817671,9630806627,2.28,2,3,0.5,6.0,True,0.6666666666666666,1.14,True,True,1.5,8,6,稳定拓展型三
668,110,495817671,9630806627,2838.16,1511,3464,0.2866,448.0,True,0.4362009237875289,1.8783322303110521,True,True,2.2925215089344806,8,0,高价值转化型
669,114,495817671,9630806627,5.49,6,6,1.0,64.0,True,1.0,0.915,True,True,1.0,8,7,低效长尾型二
670,127,495817671,9630806627,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
671,136,495817671,9630806627,20.16,35,42,0.7931,118.0,True,0.8333333333333334,0.576,True,True,1.2,8,6,稳定拓展型三
672,155,495817671,9630806627,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
673,216,495817671,9630806627,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
674,221,495817671,9630806627,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
675,231,495817671,9630806627,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
676,235,495817671,9630806627,123.8,96,181,0.7952,196.0,True,0.5303867403314917,1.2895833333333333,True,True,1.8854166666666667,8,6,稳定拓展型三
677,243,495817671,9630806627,12.22,11,60,0.3333,226.0,True,0.18333333333333332,1.110909090909091,True,True,5.454545454545454,8,1,稳定拓展型
678,292,495817671,9630806627,0.96,1,1,1.0,1.0,True,1.0,0.96,True,True,1.0,8,7,低效长尾型二
679,299,495817671,9630806627,121.03,97,200,0.7143,231.0,True,0.485,1.2477319587628866,True,True,2.0618556701030926,8,6,稳定拓展型三
680,308,495817671,9630806627,83.0,85,147,0.7167,196.0,True,0.5782312925170068,0.9764705882352941,True,True,1.7294117647058824,8,6,稳定拓展型三
681,314,495817671,9630806627,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
682,316,495817671,9630806627,49.94,43,32,1.0,94.0,True,1.34375,1.1613953488372093,True,True,0.7441860465116279,8,7,低效长尾型二
683,348,495817671,9630806627,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
684,353,495817671,9630806627,2953.6,2626,2546,0.8257,148.0,True,1.0314218381775333,1.1247524752475246,True,True,0.9695354150799695,8,6,稳定拓展型三
685,370,495817671,9630806627,3.46,8,31,0.1429,236.0,True,0.25806451612903225,0.4325,True,True,3.875,8,1,稳定拓展型
686,381,495817671,9630806627,0.31,1,1,1.0,3.0,True,1.0,0.31,True,True,1.0,8,7,低效长尾型二
687,391,495817671,9630806627,11.9,8,13,0.6667,245.0,True,0.6153846153846154,1.4875,True,True,1.625,8,6,稳定拓展型三
688,393,495817671,9630806627,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
689,417,495817671,9630806627,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
690,441,495817671,9630806627,0.0,0,0,,,False,,,False,False,,8,2,低效长尾型
691,444,495817671,9630806627,241.33,194,925,0.1414,551.0,True,0.20972972972972972,1.2439690721649486,True,True,4.768041237113402,8,1,稳定拓展型
692,445,495817671,9630806627,8.59,8,9,0.8571,132.0,True,0.8888888888888888,1.07375,True,True,1.125,8,6,稳定拓展型三
693,456,495817671,9630806627,26.44,31,39,0.7727,76.0,True,0.7948717948717948,0.8529032258064516,True,True,1.2580645161290323,8,6,稳定拓展型三
