关键词,方案ID,消费额,跳出率,平均访问时长_秒,cluster
5602,495817671,1.5,1.0,524.0,2
5621,495817671,200.67,0.9398,63.0,1
5626,495817671,1662.23,0.868,137.0,1
5630,495817671,5131.63,0.9174,91.0,1
5653,495817671,13.05,0.9286,72.0,2
5655,495817671,3.04,1.0,63.0,2
5679,495817671,28.92,0.8261,109.0,2
5702,495817671,924.69,0.8919,96.0,1
5713,495817671,42.48,0.875,60.0,2
5723,495817671,16.57,1.0,93.0,2
5734,495817671,4.55,0.75,93.0,2
5742,495817671,1.27,1.0,4.0,2
5767,495817671,18.66,0.9091,48.0,2
5783,495817671,170.77,0.8571,129.0,1
5795,495817671,1.29,1.0,1.0,2
5813,495817671,2.31,1.0,43.0,2
5832,495817671,5.52,1.0,25.0,2
5834,495817671,1229.83,0.8879,160.0,1
5870,495817671,7.27,1.0,28.0,2
5895,495817671,40.9,0.95,46.0,2
5980,495817671,9.57,1.0,43.0,2
6004,495817671,42.67,0.8065,126.0,2
6091,495817671,6.28,0.5,466.0,0
6119,495817671,1007.59,0.8915,86.0,1
6133,495817671,76.35,0.575,173.0,1
6148,495817671,12.03,0.8462,51.0,2
6154,495817671,4.51,1.0,34.0,2
6157,495817671,6.75,0.6,366.0,2
6159,495817671,2951.62,0.8262,168.0,1
6209,495817671,7.2,1.0,2.0,2
6250,495817671,3.0,1.0,80.0,2
6256,495817671,127.35,0.8235,125.0,1
6261,495817671,136.68,0.619,635.0,1
6270,495817671,0.9,1.0,5.0,2
6280,495817671,3.71,1.0,24.0,2
6315,495817671,20.1,1.0,100.0,2
6360,495817671,31984.96,0.6224,273.0,1
6378,495817671,1.85,1.0,5.0,2
6463,495817671,127.09,0.4091,401.0,1
6474,495817671,23.07,0.625,273.0,2
6486,495817671,186.06,0.463,267.0,1
6489,495817671,1542.48,0.8906,109.0,1
6504,495817671,269.55,0.814,184.0,1
6510,495817671,45.13,0.3333,517.0,0
6538,495817671,1.11,1.0,9.0,2
6578,495817671,9.86,1.0,18.0,2
6596,495817671,1.48,1.0,1.0,2
6617,495817671,17.81,0.7,324.0,2
434,500635396,18.54,0.7143,50.0,2
509,500635396,2532.96,0.5478,192.0,1
797,500635396,8332.06,0.6722,213.0,1
844,500635396,38287.88,0.5177,229.0,1
861,500635396,4227.49,0.5787,239.0,1
998,500635396,2.91,0.0,189.0,0
1934,500635396,4656.78,0.6731,189.0,1
1998,500635396,418.66,0.494,369.0,1
2253,500635396,70.6,0.6364,295.0,1
2533,500635396,172871.87,0.5621,222.0,1
2818,500635396,13968.87,0.6439,136.0,1
2832,500635396,164553.1,0.5672,212.0,1
2874,500635396,103832.28,0.5535,234.0,1
2992,500635396,10.54,0.0,686.0,0
3366,500635396,513.5,0.5176,236.0,1
3408,500635396,12956.21,0.5714,229.0,1
3567,500635396,38819.52,0.6115,175.0,1
3587,500635396,7.03,0.3333,77.0,0
4127,500635396,20.95,0.8333,46.0,2
4196,500635396,657.56,0.659,152.0,1
4482,500635396,1556.31,0.6404,197.0,1
4536,500635396,48121.97,0.575,196.0,1
4721,500635396,72765.96,0.57,222.0,1
4766,500635396,83.21,0.625,101.0,1
5166,500635396,3.88,1.0,120.0,2
5331,500635396,4160.45,0.7037,152.0,1
5337,500635396,727.12,0.5821,193.0,1
5553,500635396,71798.68,0.5765,187.0,1
5573,500635396,10656.71,0.5927,209.0,1
5867,500635396,24613.57,0.5599,213.0,1
5874,500635396,18.64,0.6,100.0,2
6001,500635396,182.78,0.5385,327.0,1
6023,500635396,344.18,0.6667,207.0,1
6133,500635396,2.08,1.0,120.0,2
6180,500635396,1896.27,0.4804,337.0,1
6271,500635396,17.47,1.0,53.0,2
6434,500635396,89.74,0.7619,68.0,1
6452,500635396,5.59,1.0,33.0,2
6660,500635396,4349.38,0.7072,181.0,1
389,500635396,6387.87,0.7273,68.0,1
416,500635396,2417.24,0.6579,186.0,1
1900,500635396,0.8,1.0,13.0,2
3371,500635396,4326.98,0.6543,61.0,1
3785,500635396,11.91,1.0,9.0,2
3897,500635396,12164.19,0.7423,257.0,1
4956,500635396,0.65,0.0,,0
5248,500635396,1.81,1.0,120.0,2
5453,500635396,1623.0,0.6667,39.0,1
5963,500635396,2.98,1.0,4.0,2
6656,500635396,2.09,1.0,2.0,2
232,500635396,2235.16,0.6848,189.0,1
4514,500635396,5.52,0.0,438.0,0
6586,500635396,4114.5,0.6409,211.0,1
3457,500635396,13.65,0.25,187.0,0
4229,500635396,65.11,0.4082,254.0,0
32,525368335,0.8,1.0,3.0,2
33,525368335,183.41,0.7288,108.0,1
47,525368335,0.38,0.0,724.0,0
48,525368335,58.58,1.0,43.0,2
61,525368335,6.13,0.75,13.0,2
74,525368335,0.73,0.0,,0
91,525368335,36.38,1.0,120.0,2
110,525368335,1.5,1.0,120.0,2
113,525368335,1.44,1.0,9.0,2
144,525368335,26.87,1.0,73.0,2
154,525368335,1.48,0.0,,0
159,525368335,1.03,1.0,3.0,2
162,525368335,14.99,1.0,62.0,2
172,525368335,0.95,1.0,3.0,2
181,525368335,165.4,0.6875,134.0,1
202,525368335,6.04,0.8,87.0,2
206,525368335,122.53,0.8125,93.0,1
213,525368335,1.1,1.0,1.0,2
235,525368335,1.29,1.0,2.0,2
257,525368335,3.48,0.3333,794.0,0
263,525368335,1.31,1.0,15.0,2
268,525368335,10.55,0.8571,78.0,2
270,525368335,263.36,0.6512,163.0,1
295,525368335,2.99,0.6667,8.0,2
303,525368335,1.3,1.0,62.0,2
307,525368335,7.98,0.6667,946.0,2
317,525368335,5.17,1.0,2.0,2
363,525368335,1.21,0.0,187.0,0
377,525368335,2.08,1.0,120.0,2
378,525368335,0.59,0.0,,0
396,525368335,4.0,0.75,132.0,2
432,525368335,2.08,0.0,,0
433,525368335,438.82,0.4746,375.0,1
435,525368335,0.7,0.0,,0
461,525368335,13.69,1.0,101.0,2
469,525368335,124.59,0.7143,438.0,1
472,525368335,2.19,0.6667,22.0,2
493,525368335,0.55,0.0,,0
501,525368335,1.81,1.0,165.0,2
516,525368335,7.59,0.6667,87.0,2
543,525368335,1.58,1.0,42.0,2
557,525368335,111.75,0.6,169.0,1
560,525368335,1.56,0.0,239.0,0
561,525368335,1.12,1.0,120.0,2
568,525368335,2.89,0.0,262.0,0
572,525368335,126.06,0.9474,45.0,1
579,525368335,12.94,0.6154,85.0,2
588,525368335,11.97,1.0,15.0,2
597,525368335,0.87,1.0,3.0,2
609,525368335,7.94,0.5,238.0,0
618,525368335,8.11,0.6667,128.0,2
625,525368335,33.59,0.84,96.0,2
640,525368335,432.45,0.3871,337.0,1
644,525368335,0.97,1.0,64.0,2
653,525368335,570.08,0.597,259.0,1
660,525368335,2.76,0.5,25.0,0
661,525368335,2.71,1.0,15.0,2
666,525368335,6.06,0.75,210.0,2
669,525368335,1.5,1.0,120.0,2
674,525368335,5.07,1.0,62.0,2
709,525368335,1363.47,0.9787,79.0,1
710,525368335,6.56,0.8571,98.0,2
720,525368335,30.61,0.875,71.0,2
725,525368335,6.12,1.0,63.0,2
735,525368335,23.37,0.7692,261.0,2
751,525368335,118.97,0.5294,589.0,1
752,525368335,5.46,1.0,74.0,2
759,525368335,12.71,0.8,82.0,2
766,525368335,6.28,1.0,6.0,2
785,525368335,0.15,1.0,120.0,2
809,525368335,6.97,0.5,60.0,0
810,525368335,1.87,1.0,8.0,2
829,525368335,112.68,0.5625,234.0,1
831,525368335,1.96,0.5,148.0,0
836,525368335,22.95,0.7895,119.0,2
848,525368335,8.34,0.5714,254.0,2
874,525368335,16.71,0.7692,140.0,2
884,525368335,4.94,1.0,42.0,2
888,525368335,244.33,0.5769,291.0,1
901,525368335,2.85,1.0,8.0,2
905,525368335,0.75,0.0,,0
911,525368335,1.96,1.0,64.0,2
912,525368335,116.42,1.0,252.0,2
926,525368335,1346.58,0.954,120.0,1
937,525368335,286.55,0.908,103.0,1
944,525368335,1.08,1.0,83.0,2
954,525368335,22.07,0.72,249.0,2
957,525368335,11.4,0.4444,121.0,0
984,525368335,10.36,1.0,40.0,2
989,525368335,2.24,1.0,54.0,2
993,525368335,2.26,0.75,51.0,2
1010,525368335,4.3,1.0,120.0,2
1014,525368335,2.6,1.0,97.0,2
1093,525368335,6.03,0.8,17.0,2
1124,525368335,6.52,1.0,75.0,2
1131,525368335,8.44,1.0,72.0,2
1135,525368335,1.46,1.0,3.0,2
1136,525368335,0.15,1.0,10.0,2
1143,525368335,7.32,1.0,37.0,2
1149,525368335,0.37,1.0,,2
1159,525368335,10.33,0.7143,34.0,2
1167,525368335,1264.77,0.8144,111.0,1
1188,525368335,0.39,1.0,120.0,2
1194,525368335,3.39,1.0,1.0,2
1196,525368335,25.68,1.0,433.0,2
1205,525368335,12.68,0.7143,116.0,2
1209,525368335,21.0,0.7,141.0,2
1217,525368335,11.05,0.9,73.0,2
1233,525368335,3.36,0.0,225.0,0
1235,525368335,10.08,0.6,119.0,2
1236,525368335,1.34,0.0,,0
1241,525368335,24.82,0.65,177.0,2
1255,525368335,1.5,1.0,10.0,2
1257,525368335,0.61,1.0,120.0,2
1265,525368335,4.26,1.0,10.0,2
1270,525368335,16.29,0.6429,1163.0,2
1282,525368335,0.65,0.0,,0
1292,525368335,6.18,0.5714,48.0,2
1294,525368335,1.3,1.0,22.0,2
1295,525368335,0.23,1.0,5.0,2
1296,525368335,10.54,0.3333,343.0,0
1308,525368335,44.83,0.7,168.0,2
1315,525368335,0.63,0.0,,0
1318,525368335,239.2,0.8079,91.0,1
1323,525368335,16.79,0.5,247.0,0
1325,525368335,5.23,0.5,909.0,0
1327,525368335,8.67,0.4,505.0,0
1337,525368335,0.15,1.0,2.0,2
1353,525368335,113.91,0.3587,341.0,1
1370,525368335,1.66,1.0,4.0,2
1381,525368335,2.27,1.0,61.0,2
1398,525368335,5.87,0.6667,87.0,2
1402,525368335,0.75,1.0,120.0,2
1437,525368335,19.68,0.75,89.0,2
1441,525368335,34.01,0.8182,76.0,2
1523,525368335,7.77,0.8,172.0,2
1525,525368335,29.45,0.7241,400.0,2
1535,525368335,6.01,0.4,261.0,0
1561,525368335,14.9,0.8333,95.0,2
1575,525368335,33.51,0.5,60.0,0
1610,525368335,9.46,1.0,33.0,2
1617,525368335,3.61,1.0,2.0,2
1628,525368335,2.96,0.3333,254.0,0
1629,525368335,6.69,0.7143,339.0,2
1638,525368335,19.33,0.5789,120.0,2
1641,525368335,0.34,1.0,1.0,2
1649,525368335,12.97,0.6,160.0,2
1652,525368335,2.48,1.0,2.0,2
1660,525368335,24.25,0.6667,282.0,2
1672,525368335,662.43,0.9859,66.0,1
1677,525368335,24.31,0.5333,188.0,0
1678,525368335,5.64,0.75,396.0,2
1688,525368335,0.64,0.5,1179.0,0
1694,525368335,0.85,0.5,668.0,0
1705,525368335,14.22,0.7273,77.0,2
1716,525368335,3.37,0.0,17.0,0
1719,525368335,49.34,0.7381,114.0,2
1742,525368335,13.43,0.6923,105.0,2
1765,525368335,33.74,0.9286,70.0,2
1816,525368335,1.16,0.0,41.0,0
1869,525368335,16.93,1.0,118.0,2
1879,525368335,1.82,1.0,28.0,2
1881,525368335,2.24,0.3333,530.0,0
1906,525368335,0.81,1.0,,2
1916,525368335,1457.46,0.698,174.0,1
1930,525368335,6.29,0.5,478.0,0
1935,525368335,1.11,1.0,5.0,2
1939,525368335,0.2,0.0,,0
1952,525368335,23556.53,0.6368,210.0,1
1958,525368335,0.73,1.0,19.0,2
1988,525368335,0.15,1.0,1.0,2
2010,525368335,2.75,1.0,120.0,2
2019,525368335,4.98,1.0,42.0,2
2030,525368335,0.5,1.0,33.0,2
2042,525368335,0.31,1.0,5.0,2
2043,525368335,2.64,0.0,,0
2054,525368335,0.92,1.0,1728.0,2
2056,525368335,24.53,0.3684,155.0,0
2060,525368335,0.83,0.0,,0
2076,525368335,3.75,0.6667,95.0,2
2078,525368335,127.96,0.9231,86.0,1
2091,525368335,4.76,1.0,120.0,2
2093,525368335,1.85,0.6667,289.0,2
2101,525368335,3.75,0.5,172.0,0
2113,525368335,66.87,0.8776,45.0,2
2116,525368335,23.67,1.0,54.0,2
2127,525368335,16.0,0.8333,7.0,2
2147,525368335,12.55,1.0,27.0,2
2175,525368335,8.76,0.75,144.0,2
2186,525368335,8.06,0.8571,1078.0,2
2198,525368335,2.35,1.0,166.0,2
2206,525368335,32.01,0.8378,162.0,2
2217,525368335,2.02,0.5,41.0,0
2225,525368335,2.93,0.75,45.0,2
2233,525368335,16.86,0.8889,175.0,2
2243,525368335,2.54,0.5,86.0,0
2267,525368335,1.45,0.5,128.0,0
2274,525368335,15.49,0.0,,0
2278,525368335,0.72,0.0,4.0,0
2288,525368335,1.64,1.0,3.0,2
2291,525368335,2.75,0.0,,0
2295,525368335,5.07,1.0,9.0,2
2304,525368335,9.61,0.75,61.0,2
2331,525368335,3.33,1.0,64.0,2
2335,525368335,0.59,0.0,,0
2354,525368335,60.44,0.6364,197.0,1
2357,525368335,7.84,0.7143,77.0,2
2371,525368335,20.29,0.5294,209.0,0
2382,525368335,26.76,0.8182,149.0,2
2418,525368335,7.31,0.8,16.0,2
2424,525368335,6.26,1.0,1.0,2
2436,525368335,1.86,1.0,1.0,2
2442,525368335,2.2,0.0,,0
2453,525368335,2.48,1.0,120.0,2
2460,525368335,0.84,1.0,11.0,2
2467,525368335,4.9,0.0,16.0,0
2500,525368335,27.75,0.5714,223.0,2
2518,525368335,16.92,0.5833,427.0,2
2534,525368335,12.84,0.75,119.0,2
2546,525368335,12.2,0.4,251.0,0
2547,525368335,0.65,0.0,97.0,0
2553,525368335,2.88,1.0,61.0,2
2557,525368335,126.11,0.844,71.0,1
2569,525368335,8.56,0.8,152.0,2
2571,525368335,7.58,1.0,7.0,2
2572,525368335,4.75,0.75,50.0,2
2577,525368335,22.78,0.5,208.0,0
2578,525368335,18.31,0.7692,115.0,2
2586,525368335,5.37,1.0,120.0,2
2597,525368335,12.23,0.6667,106.0,2
2610,525368335,0.1,1.0,2.0,2
2616,525368335,8.53,0.8,227.0,2
2624,525368335,43.85,0.8125,71.0,2
2633,525368335,877.62,0.6834,212.0,1
2638,525368335,8.93,0.4286,304.0,0
2655,525368335,0.99,1.0,43.0,2
2668,525368335,18.74,0.7857,88.0,2
2675,525368335,1.83,0.0,140.0,0
2705,525368335,15.07,0.8462,36.0,2
2711,525368335,0.35,0.0,,0
2718,525368335,1.15,1.0,120.0,2
2719,525368335,1.63,0.6667,22.0,2
2724,525368335,17.48,0.7692,145.0,2
2731,525368335,3.0,1.0,120.0,2
2734,525368335,7.95,0.4,679.0,0
2742,525368335,2201.88,0.9227,58.0,1
2749,525368335,4.24,1.0,4.0,2
2759,525368335,1.33,0.5,397.0,0
2762,525368335,3.98,1.0,62.0,2
2767,525368335,4.47,1.0,629.0,2
2768,525368335,3.5,1.0,61.0,2
2770,525368335,1.86,1.0,61.0,2
2775,525368335,10.21,0.8333,64.0,2
2790,525368335,6.8,1.0,246.0,2
2796,525368335,0.56,1.0,120.0,2
2806,525368335,45.31,0.8293,154.0,2
2807,525368335,128.13,0.8,32.0,1
2826,525368335,0.15,1.0,2.0,2
2835,525368335,2.16,0.5,309.0,0
2843,525368335,4124.08,0.7917,117.0,1
2854,525368335,8.89,0.6667,123.0,2
2855,525368335,10.02,1.0,92.0,2
2858,525368335,7.04,0.25,283.0,0
2859,525368335,4.18,0.0,45.0,0
2877,525368335,1.46,0.5,72.0,0
2890,525368335,3.71,0.3333,2573.0,0
2904,525368335,4.24,1.0,69.0,2
2905,525368335,11.09,0.9091,83.0,2
2914,525368335,4623.04,0.7333,205.0,1
2916,525368335,1.83,1.0,1.0,2
2919,525368335,90.58,0.9079,95.0,2
2953,525368335,0.85,1.0,,2
2955,525368335,2.82,1.0,43.0,2
2961,525368335,3144.54,0.9121,95.0,1
2964,525368335,4.03,1.0,7.0,2
2976,525368335,0.15,1.0,1.0,2
2978,525368335,2698.76,0.9164,86.0,1
2990,525368335,3.5,1.0,2.0,2
2996,525368335,1.0,0.0,21.0,0
2997,525368335,35.47,0.8571,55.0,2
3024,525368335,4.23,0.6667,42.0,2
3029,525368335,1.8,0.0,51.0,0
3043,525368335,0.95,0.0,141.0,0
3045,525368335,24.51,0.3889,274.0,0
3072,525368335,5.77,1.0,70.0,2
3073,525368335,38.81,0.6,110.0,2
3078,525368335,33.02,0.6364,167.0,2
3082,525368335,1.32,1.0,1.0,2
3090,525368335,1.9,0.0,,0
3124,525368335,0.3,1.0,120.0,2
3158,525368335,1.99,1.0,11.0,2
3178,525368335,10.08,0.8889,88.0,2
3179,525368335,3.04,0.6667,1275.0,2
3181,525368335,11.07,0.75,623.0,2
3185,525368335,2.72,1.0,62.0,2
3202,525368335,32.23,0.6316,228.0,2
3211,525368335,4.96,1.0,26.0,2
3222,525368335,1176.51,0.7801,144.0,1
3267,525368335,9.34,0.6667,57.0,2
3280,525368335,30.61,0.75,218.0,2
3281,525368335,1.75,1.0,120.0,2
3300,525368335,0.1,0.0,,0
3305,525368335,10.73,0.75,32.0,2
3313,525368335,36.15,0.5143,400.0,0
3320,525368335,0.15,1.0,,2
3331,525368335,1.01,1.0,120.0,2
3352,525368335,4.01,1.0,81.0,2
3359,525368335,2.83,1.0,6.0,2
3365,525368335,1.95,0.0,70.0,0
3396,525368335,1.26,1.0,4.0,2
3413,525368335,1.41,1.0,10.0,2
3460,525368335,0.6,0.0,,0
3463,525368335,0.53,1.0,120.0,2
3473,525368335,7.85,0.75,139.0,2
3476,525368335,6.72,0.75,405.0,2
3481,525368335,8.14,0.4,474.0,0
3486,525368335,0.15,0.0,39.0,0
3487,525368335,5.23,1.0,4.0,2
3495,525368335,2.74,0.6667,226.0,2
3515,525368335,2110.21,0.6615,152.0,1
3535,525368335,9.73,0.5714,157.0,2
3541,525368335,3.12,0.0,1359.0,0
3544,525368335,0.9,0.0,444.0,0
3575,525368335,167.95,0.6,316.0,1
3595,525368335,3343.5,0.8,121.0,1
3597,525368335,44.81,0.8333,110.0,2
3634,525368335,1.18,0.0,,0
3643,525368335,3.44,1.0,96.0,2
3649,525368335,33.42,0.0,56.0,0
3665,525368335,3.95,0.6667,68.0,2
3673,525368335,0.85,0.0,,0
3692,525368335,16.38,0.5,306.0,0
3697,525368335,1.28,0.0,,0
3703,525368335,1.28,1.0,1156.0,2
3716,525368335,1.44,1.0,11.0,2
3733,525368335,0.71,1.0,120.0,2
3742,525368335,1.99,1.0,120.0,2
3749,525368335,11.54,1.0,36.0,2
3759,525368335,0.97,1.0,1.0,2
3760,525368335,9.1,0.9286,96.0,2
3769,525368335,4.68,0.8,67.0,2
3775,525368335,4.81,0.75,47.0,2
3779,525368335,2.4,0.0,,0
3843,525368335,6.63,0.4,74.0,0
3916,525368335,0.58,0.0,,0
3923,525368335,316.24,0.5263,244.0,1
3924,525368335,4.53,0.5,246.0,0
3934,525368335,4.48,0.6667,131.0,2
3936,525368335,155.23,0.8696,72.0,1
3949,525368335,13.87,1.0,124.0,2
3951,525368335,4.31,0.0,,0
3979,525368335,1.82,1.0,,2
3991,525368335,10.09,0.6,38.0,2
3996,525368335,1.7,0.75,569.0,2
4005,525368335,3.61,1.0,922.0,2
4012,525368335,1.78,0.6667,82.0,2
4025,525368335,4371.61,0.5397,264.0,1
4032,525368335,11.18,0.2727,252.0,0
4039,525368335,1.21,1.0,29.0,2
4041,525368335,0.78,0.0,15.0,0
4042,525368335,1.73,0.25,350.0,0
4045,525368335,2116.51,0.5714,341.0,1
4053,525368335,223.0,0.7333,287.0,1
4090,525368335,15.57,0.8182,59.0,2
4091,525368335,44.79,0.4,581.0,0
4108,525368335,2.36,0.0,82.0,0
4111,525368335,0.54,1.0,120.0,2
4158,525368335,4.79,1.0,312.0,2
4163,525368335,1.26,0.0,,0
4171,525368335,5.91,0.75,258.0,2
4189,525368335,8.85,0.3333,77.0,0
4202,525368335,1.12,0.0,,0
4210,525368335,13.71,0.75,130.0,2
4212,525368335,37.2,0.6667,242.0,2
4251,525368335,2.47,1.0,90.0,2
4254,525368335,0.93,1.0,120.0,2
4255,525368335,7.61,0.381,369.0,0
4260,525368335,362.82,0.913,49.0,1
4261,525368335,12.22,1.0,54.0,2
4264,525368335,0.15,1.0,2.0,2
4289,525368335,1.5,0.0,,0
4292,525368335,3.3,1.0,61.0,2
4307,525368335,1.92,0.0,71.0,0
4323,525368335,5.2,1.0,104.0,2
4333,525368335,3.45,0.5,66.0,0
4352,525368335,29.26,0.2927,677.0,0
4366,525368335,1.82,0.6667,76.0,2
4378,525368335,23.08,0.5882,87.0,2
4379,525368335,4.62,0.8,33.0,2
4393,525368335,3.55,0.0,62.0,0
4397,525368335,15.91,1.0,58.0,2
4399,525368335,2.49,0.75,62.0,2
4418,525368335,10.74,0.75,39.0,2
4420,525368335,1.53,1.0,,2
4437,525368335,129.39,0.5616,213.0,1
4443,525368335,1.39,1.0,1.0,2
4476,525368335,2.68,1.0,120.0,2
4479,525368335,18.44,0.9444,53.0,2
4480,525368335,3.63,0.5,596.0,0
4519,525368335,5.33,0.6,50.0,2
4529,525368335,8.37,1.0,73.0,2
4541,525368335,1.13,1.0,41.0,2
4544,525368335,1.61,0.5,13.0,0
4549,525368335,3.28,0.5,3529.0,0
4550,525368335,3.97,1.0,62.0,2
4557,525368335,0.52,1.0,120.0,2
4578,525368335,4.05,1.0,7.0,2
4594,525368335,2076.36,0.7826,227.0,1
4606,525368335,146.02,0.7381,101.0,1
4614,525368335,19.9,0.3684,373.0,0
4615,525368335,2.39,1.0,68.0,2
4621,525368335,9.04,0.8,153.0,2
4637,525368335,3.48,1.0,111.0,2
4638,525368335,0.37,1.0,120.0,2
4639,525368335,1.71,1.0,109.0,2
4660,525368335,0.28,1.0,6.0,2
4662,525368335,62.34,0.6216,270.0,1
4663,525368335,15.68,0.7692,159.0,2
4674,525368335,1.48,0.0,,0
4706,525368335,4.31,0.4,691.0,0
4718,525368335,2594.66,0.7243,123.0,1
4723,525368335,10.24,0.625,154.0,2
4736,525368335,0.92,0.0,,0
4739,525368335,3.37,0.8333,115.0,2
4750,525368335,2.04,1.0,7.0,2
4760,525368335,53.34,0.7714,267.0,2
4764,525368335,2.46,1.0,746.0,2
4807,525368335,2.65,0.6667,27.0,2
4815,525368335,13.7,0.8333,205.0,2
4817,525368335,0.83,1.0,13.0,2
4833,525368335,6.88,1.0,79.0,2
4845,525368335,4.63,1.0,1.0,2
4849,525368335,7.46,0.375,97.0,0
4853,525368335,18.66,1.0,7.0,2
4880,525368335,18.79,0.6,300.0,2
4891,525368335,4.61,0.5,351.0,0
4894,525368335,23.29,0.8333,150.0,2
4920,525368335,2.5,1.0,68.0,2
4937,525368335,25.77,0.7333,51.0,2
4938,525368335,36.87,0.5517,184.0,2
4939,525368335,0.33,0.0,43.0,0
4951,525368335,1.95,1.0,1.0,2
4957,525368335,15.54,0.4545,84.0,0
4968,525368335,0.59,0.0,,0
4969,525368335,9353.77,0.449,320.0,1
4987,525368335,12.34,0.8571,69.0,2
4999,525368335,9.03,0.6667,55.0,2
5013,525368335,1.65,0.5,157.0,0
5044,525368335,23.34,0.8889,98.0,2
5045,525368335,9739.85,0.6304,63.0,1
5049,525368335,0.32,0.0,22.0,0
5070,525368335,4240.55,0.8343,111.0,1
5095,525368335,13.79,0.7143,53.0,2
5111,525368335,4.1,0.6,263.0,2
5113,525368335,2.91,0.6667,99.0,2
5150,525368335,1.17,0.0,2062.0,0
5155,525368335,3.94,0.0,,0
5167,525368335,2.4,1.0,120.0,2
5182,525368335,132.06,0.7,33.0,1
5196,525368335,5.93,0.625,85.0,2
5212,525368335,242.98,0.8148,68.0,1
5219,525368335,8.05,0.75,725.0,2
5220,525368335,6.19,0.5,28.0,0
5222,525368335,6.44,0.6667,679.0,2
5228,525368335,6.63,0.6667,53.0,2
5230,525368335,0.22,0.0,,0
5242,525368335,3.64,1.0,378.0,2
5255,525368335,7.45,1.0,6.0,2
5260,525368335,310.37,0.6833,214.0,1
5271,525368335,20.07,0.6316,197.0,2
5292,525368335,3.93,0.6667,522.0,2
5309,525368335,4.65,1.0,200.0,2
5313,525368335,0.89,1.0,,2
5326,525368335,1.8,0.0,,0
5327,525368335,1.93,1.0,80.0,2
5378,525368335,0.15,1.0,4.0,2
5395,525368335,3.89,1.0,14.0,2
5406,525368335,0.86,0.0,,0
5449,525368335,4.71,0.5,275.0,0
5460,525368335,9272.73,0.697,171.0,1
5474,525368335,3.52,0.75,392.0,2
5481,525368335,0.15,0.0,,0
5484,525368335,2870.73,0.8636,66.0,1
5492,525368335,5.47,1.0,65.0,2
5497,525368335,0.15,0.0,,0
5500,525368335,27.94,0.7143,330.0,2
5501,525368335,0.15,1.0,654.0,2
5505,525368335,4.09,0.8,99.0,2
5508,525368335,3.2,0.5,442.0,0
5515,525368335,2.51,0.0,,0
5522,525368335,2.41,1.0,5.0,2
5531,525368335,13.14,0.8889,36.0,2
5533,525368335,18.68,1.0,25.0,2
5538,525368335,33.94,0.7778,76.0,2
5551,525368335,0.3,1.0,5.0,2
5588,525368335,17.72,0.75,272.0,2
5591,525368335,0.31,1.0,120.0,2
5596,525368335,1051.38,0.6986,126.0,1
5608,525368335,111.69,0.5714,287.0,1
5624,525368335,5.22,1.0,54.0,2
5640,525368335,531.84,0.875,30.0,1
5658,525368335,2.07,1.0,120.0,2
5693,525368335,12.75,0.875,95.0,2
5705,525368335,4.36,0.3333,243.0,0
5721,525368335,5.21,1.0,6.0,2
5726,525368335,5.1,1.0,61.0,2
5730,525368335,2.54,0.5,49.0,0
5745,525368335,6.58,0.2,596.0,0
5755,525368335,29.05,0.6875,141.0,2
5764,525368335,11.39,0.75,275.0,2
5771,525368335,165.76,0.8571,29.0,1
5792,525368335,0.45,0.0,,0
5800,525368335,3.02,0.6667,135.0,2
5802,525368335,4.09,0.5,112.0,0
5817,525368335,4.01,0.75,674.0,2
5830,525368335,68.65,1.0,29.0,2
5831,525368335,52.79,0.3333,517.0,0
5841,525368335,3.53,1.0,181.0,2
5869,525368335,12.17,1.0,8.0,2
5872,525368335,0.96,0.5,96.0,0
5885,525368335,1.71,1.0,2.0,2
5888,525368335,2.86,0.3333,130.0,0
5891,525368335,112.7,0.3,569.0,0
5896,525368335,18.37,0.4762,192.0,0
5897,525368335,0.43,1.0,,2
5902,525368335,7.4,0.75,13.0,2
5913,525368335,4.42,0.25,412.0,0
5921,525368335,1.97,0.0,,0
5928,525368335,0.85,1.0,3.0,2
5935,525368335,46.08,0.8,190.0,2
6021,525368335,2.94,1.0,18.0,2
6029,525368335,120.76,0.7059,104.0,1
6130,525368335,2.93,1.0,13.0,2
6152,525368335,7.29,0.8571,410.0,2
6162,525368335,121.83,0.9048,45.0,1
6173,525368335,1.4,1.0,46.0,2
6220,525368335,0.76,1.0,1.0,2
6229,525368335,1.21,1.0,3.0,2
6231,525368335,0.88,1.0,120.0,2
6246,525368335,53.38,0.6364,79.0,1
6250,525368335,1.47,1.0,10.0,2
6261,525368335,27.63,0.8333,86.0,2
6272,525368335,121.35,0.75,57.0,1
6305,525368335,3.8,0.75,15.0,2
6307,525368335,20.78,0.7143,223.0,2
6340,525368335,1.45,0.0,,0
6343,525368335,40.22,0.5,214.0,0
6353,525368335,1.5,1.0,2.0,2
6366,525368335,12.65,0.6923,81.0,2
6372,525368335,4.92,0.75,37.0,2
6383,525368335,2.7,1.0,92.0,2
6432,525368335,5.13,1.0,75.0,2
6436,525368335,9.62,1.0,52.0,2
6440,525368335,11.87,0.875,81.0,2
6457,525368335,0.73,1.0,120.0,2
6474,525368335,12230.47,0.6592,172.0,1
6483,525368335,21240.56,0.8,157.0,1
6487,525368335,4.97,1.0,65.0,2
6490,525368335,166.07,0.9524,55.0,1
6503,525368335,5.49,0.8,89.0,2
